review,sentiment
"Well I must say this is probably the worst film I have seen this year! The jokes were extremely crude (wasn't expecting it from as PG movie)(Rated PG in Canada) and they weren't funny! With this great cast I at least expected some good acting but I didn't even get that. I am a huge Rainn Wilson fan and this is the first time I was extremely disappointed by his performance. Neither Luke Wilosn or Uma Thurman's characters are the least bit likable and i really could have cared less what happened to either of them. I didn't expect this at all as in the past I have really liked other movies by this director (Six Days, Seven Nights for example) This movie was NOT worth the $10 it cost me and i strongly encourage you not to see this movie. I guarantee that you will be like me begging for this movie to be over.",0
"This movie was so predictable. Its a complete rip off of those, ""I was abused by daddy I'm gonna kill women"" movies. Stupid scenes, bad acting, unoriginal storyline, really low budget piece of crap film.<br /><br />Don't waste your time people. Trust me.<br /><br />My rating: 0/5.0",0
"Story of a wrongly executed prisoner who haunts the prison he was electrocuted in and kills random prisoners while waiting to take revenge on the man who framed him.<br /><br />Viggo Mortensen is great, and the acting is pretty good overall. Lane Smith is deliciously wicked as the guilty warden. Also, this film has some great gore, including death by barbed-wire mummification.",1
"La Chute de la Maison Usher, or The Fall of the House of Usher as it's know amongst English audiences, starts with Allan (Charles Lamy) heading for the Castle of his good friend Sir Roderick Usher (Jean Debucourt) who sent him a letter saying that his wife Madeleine is ill. Once there Allan finds Madeleine very sick & her husband Roderick determined & almost obsessed to paint her portrait. As Roderick paints Madeleine becomes weaker & weaker almost as if the picture is draining the life out of her, Allan tries to help his friend but tragedy soon strikes...<br /><br />This French production was co-written, produced & directed by Jean Epstein & was the second of two filmed The Fall of the House of Usher adaptations during 1928, honestly I don't know the original novel was published in 1839, I mean you wait 89 years for a filmed adaptation & two come along at the same time! Anyway, I feel that I have a bit of a problem here as I have read plenty of positive comments about La Chute de la Maison Usher & maybe I'm not the right sort of person to write a comment on it but I have to say that it simply didn't do anything for me. I didn't like it, obviously the first thing to say is that this is a silent film & therefore it relies on imagery but even so I thought the story was weak, I thought as a whole the film was boring & dull even though it only lasts for about an hour & it really didn't do anything for me at all. La Chute de la Maison Usher was made almost 80 years ago & that is literally a lifetime, the world, cinema & tastes have moved on a lot since then & I found no enjoyment in this film. I feel this film has dated badly & probably wasn't that good to start with anyway. I never felt for any of the character's, I never cared about anything that was happening & I found it all rather tedious to sit through, I'm sorry if I've offended any silent film fans out there but that's the way I felt.<br /><br />Director Epstein does an OK job, a lot of people ramble on about the imagery in La Chute de la Maison Usher & I will freely admit it definitely has it's moments but I thought they were few & far between. Shots of people's mouths moving & not actually hearing what they say just seemed weird to me, I didn't like the music & the version I saw kept the original French language insert cards which were narrated by guy with the most awful sounding thick French accent which was also off putting. Based on the story by Edgar Allen Poe I doubt this has much resemblance to it apart from one or two basic elements, stick with the fantastic Roger Corman House of Usher starring Vincent Price.<br /><br />Technically the film was OK considering when it was made. You simply cannot tell about the acting as no one ever speaks although the film is full of unnatural exaggerated movements to try & suggest emotions or reflect what's happening which works to an extent but after a while just looks a bit daft.<br /><br />La Chute de la Maison Usher will appeal to those who crave a bygone era, who live in caves or who are stuck in the past, for me I like my films to have a story, not to bore me & to have sound & I'm sorry if that last statement makes me sound like an uneducated idiot but that's how I feel. The world has moved on since 1928 & for the better.",0
"The Five Deadly Venoms is a great kung-fu action movie wrapped in a whodunnit mystery. There are all the usual telltale signs of a kung-fu flick: great choreography, awful dubbing, different ""styles"" of fighting, and a wide range of greatly exaggerated, often cheesey human emotions. However the plot certainly is better than average. It's interesting and holds your attention throughout the non-fight scenes. Occasionally it's even able to fire up the audience, such as when X character receives horrible injustice.<br /><br />Another thing I love about the Five Deadly Venoms is the beautiful simplicity of the movie's morals and themes. Just about everyone gets what's coming to them. The cowardly, greedy, and corrupt lose out. The bad guys, consumed by selfish greed are ultimately destroyed by their own treachery and backstabbing. The good guys use teamwork, planning, and integrity to overcome the odds and come out on top. <br /><br />Poison Clan rocks!",1
"I have not seen this movie in ages but figured I'd comment on it anyway, mostly because the memory of disliking it so intently is burned into my memory cells. The original THE GETAWAY was no prize to begin with but at least had the distinctions of being 1) A Sam Peckinpah movie, 2) Featured Steve McQueen, Ben Johnson, and Slim Pickens, 3) Was a relatively painless way to blow away an hour and a half of time.<br /><br />By comparison, the 1994 version comes across as little more than a vanity piece for the then red hot Alec Baldwin and his soon to be divorced wife, Kim Basinger. McQueen and his then wife Allie McBride also split up soon after their version of the film was made and one can sort of picture the Baldwins at their marriage councilor arguing over who's stupid idea it was to make this movie.<br /><br />Let's just get it said and out of the way -- Alec Baldwin never was and never will be anything close to the Cooler King, and one of the reasons why this remake annoyed me so much is the perceived arrogance on Baldwin's part to presume to challenge our memory of Steve McQueen in the lead role. Like someone else points out, Peckinpah's 1972 vision of the film was a satire piece meant to sort of parody the action/adventure heist genre. By contrast Baldwin, Bassinger & company seem to be trying to evoke a more serious tone, with only Michael Madsen's and James Woods' slimy unprincipled villain characters coming off as real people.<br /><br />The movie is also decidedly mean spirited and unlikeable at a fundamental level that is difficult to put into words. One viewing was more than enough, not just because it didn't have anything new to offer but because of how artlessly it was made. Peckinpah's movie was actually a stylish little entertainment that had an upbeat mood, where this version is a slog that takes too long to amount to little or nothing. There's no artistic urgency to it's existence and some of the more uncomfortable scenes are so uncomfortable that they make the film difficult to enjoy.<br /><br />So I don't know, this was probably one of the films that helped to initiate the wave of pointless, artistically vapid big budget remakes propped up around a then name brand actor/actress, which in itself isn't a really good thing. I'd always rather see a filmmaker at least try to come up with a new idea for a movie & fall flat with something original. This movie just made me want to pull my eyebrows out, and it's revealing that over the ensuing 15 years since it's release Mr. Baldwin has become widely renowned as one of the biggest jerks in Hollywood. Thank god for ""Team America"" for putting him in his place.<br /><br />3/10",0
"This film takes place in the 1950s. According to this the dead (called zombies) have arisen to eat the living. However a company has developed a collar that, when put around the zombies neck, makes them docile and perfect servants. The Robinsons mom Helen (Carrie-Anne Moss), dad Bill (Dylan Baker) and son Timmy (K'Sun Ray) hire a zombie because everyone on their block already has one. Tim names the zombie Fido (Billy Connolly) and becomes friends with him. But his dad hates him and Timmy looses control of Fido and things go wrong.<br /><br />As you can see this is--among many other things--a takeoff on the ""Lassie"" series with Fido being a stand in for Lassie. Timmy was named that for a reason! Every single of the famous Lassie episodes are spun here. My favorite is when Timmy sends Fido off to get help before the zombies eat him! Also it's a satire of those 1950s Douglas Sirk films where everything is bright and colorful--but dark secrets are tearing people apart. The characters wear VERY bright 1950s clothes (Moss is always in a dress)--the furnishings, settings and cars especially are all 1950s in hyper bright colors. Even when the script becomes repetitious there's always something to look at. The script is good--but there are only so many Lassie jokes you can make. The melodramatics are kind of silly but the cast pulls it off. Everyone here is excellent and right on target. Even Connolly as an emotionless zombie does a good job. Moss is the best--playing each line for all its worth---but never going overboard.<br /><br />This isn't for everybody (of course). The satire may be lost on most people and the gore is pretty tame. The gore is done so casually and with happy music playing over it it's hard to take it seriously. So, for some people, this will really work. I give it an 8.",1
"Every kid has that movie that he pops into VHS when he has nothing to do, or when there is a babysitter around. This was that movie for me.<br /><br /> I can tell you the whole plot exactly, I must have seen it 100 times at least, and I can say it is a good kids/family movie.<br /><br />I still have the tape, I haven't watched it in 5 years, but maybe I'll get around to it this week, and be a kid for the day.<br /><br /> You just have to love the care bears, and their messege.<br /><br />",1
"Medellin is a fabulous place to live, work, and study. I've been there twice, and never did I hear anything about guerrilla activities, paramilitaries taking tourists hostage, or anything of the sort. There are ""invisible police,"" but it is *not* a Big Brother system. There are just enough police so that they are visible in everyday life, but they do not hassle someone without good reasons.<br /><br />La Sierra is an interesting documentary in that the youths it depicts in the movie essentially become its characters. The directors of the movie carefully carve out plot lines among the daily actions of the inhabitants of La Sierra, and when a ""character"" dies, there is genuine pathos. It is difficult to imagine, however, that the three youths are all members of the Bloque Metro, a gang that used to terrorize La Sierra before the Colombian government began to restructure the country.<br /><br />La Sierra is not an accurate depiction of life in Colombia; there are, of course, things to be wary of such as petty crime, but when one considers pickpocketing happens in ""modern"" cities such as London, New York, or Tokyo, Colombia doesn't seem that different after all. Colombians are eagerly awaiting their chance to show to the world that the once war-torn country is now prospering more than ever.",0
"The Booth puts a whole new twist on your typical J-horror movie. This movie puts you in the shoes of the protagonist of the story. The director wants you to see what the protagonist sees and thinks.<br /><br />The story is about perception of the people who works, lives, and loves of our protagonist, and how he perceives the people who surrounds him in an antiquated radio station DJ booth. The story peels back the layers of the main character like an onion in flash-backs as the movie runs its course, and from it we learned that things are not always the way it seems. The movie mostly took place in a small, out-dated radio station's studio with a very bad history, where the main character was forced to broadcast his talk show due to the radio station was in the process of re-locating. It is from this confined space that this movie thrives and makes you feel very claustrophobic and very paranoid. At time our protagonist can not determined the strange happenings in the old studio were caused by ghost or some conspiracy by his co-workers or it was all in his mind. What I like about this film is that the film-makers makes you see through the eyes of the main character and makes you just as paranoid as protagonist did. This movie is a very smart, abide rather short 76 minutes film.",1
